Date,Open,High,Low,Close,Adj Close,Volume
2010-03-11,1989120.000000,1989120.000000,1933440.000000,1933440.000000,1785932.000000,1
2010-03-12,1932480.000000,1974240.000000,1898880.000000,1973280.000000,1822732.625000,2
2010-03-15,2029440.000000,2055840.000000,2014560.000000,2044800.000000,1888796.125000,0
2010-03-16,1908000.000000,1908000.000000,1878240.000000,1878240.000000,1734943.500000,0
2010-03-17,1878240.000000,1878240.000000,1878240.000000,1878240.000000,1734943.500000,0
2010-03-18,1878240.000000,1878240.000000,1878240.000000,1878240.000000,1734943.500000,0
2010-03-19,1956960.000000,1959360.000000,1956960.000000,1959360.000000,1809874.625000,0
2010-03-22,1994400.000000,1994400.000000,1798560.000000,1798560.000000,1661342.500000,0
2010-03-23,1767360.000000,1767360.000000,1710720.000000,1712640.000000,1581977.500000,0
2010-03-24,1710240.000000,1757280.000000,1709280.000000,1757280.000000,1623211.875000,0
2010-03-25,1708800.000000,1782720.000000,1692000.000000,1780320.000000,1644494.000000,0
2010-03-26,1732320.000000,1847040.000000,1724160.000000,1814880.000000,1676417.250000,0
2010-03-29,1824000.000000,1824000.000000,1751040.000000,1757280.000000,1623211.875000,0
2010-03-30,1748640.000000,1748640.000000,1748640.000000,1748640.000000,1615231.000000,0
2010-03-31,1769760.000000,1769760.000000,1700160.000000,1752480.000000,1618778.000000,0
2010-04-01,1663200.000000,1783680.000000,1642560.000000,1761120.000000,1626758.625000,0
2010-04-05,1620000.000000,1620000.000000,1590720.000000,1594080.000000,1472463.000000,0
2010-04-06,1625760.000000,1638240.000000,1601280.000000,1620000.000000,1496405.500000,0
2010-04-07,1643040.000000,1648320.000000,1579200.000000,1588800.000000,1467585.750000,0
2010-04-08,1617600.000000,1705920.000000,1617600.000000,1671360.000000,1543847.000000,0
2010-04-09,1656000.000000,1656000.000000,1650720.000000,1651200.000000,1525225.000000,0
2010-04-12,1600320.000000,1600320.000000,1531200.000000,1571520.000000,1451623.875000,0
2010-04-13,1576320.000000,1579200.000000,1541280.000000,1541280.000000,1423691.250000,0
2010-04-14,1437120.000000,1437120.000000,1335840.000000,1341600.000000,1239245.500000,0
2010-04-15,1334400.000000,1351680.000000,1306080.000000,1328640.000000,1227274.000000,1
2010-04-16,1357440.000000,1415040.000000,1357440.000000,1377120.000000,1272055.250000,0
2010-04-19,1412640.000000,1504320.000000,1392960.000000,1424160.000000,1315506.625000,0
2010-04-20,1378560.000000,1393920.000000,1359840.000000,1360800.000000,1256980.500000,0
2010-04-21,1320000.000000,1442400.000000,1320000.000000,1409760.000000,1302205.000000,0
2010-04-22,1452000.000000,1490400.000000,1312800.000000,1312800.000000,1212642.500000,1
2010-04-23,1346400.000000,1364640.000000,1306080.000000,1306080.000000,1206435.250000,1
2010-04-26,1272000.000000,1310400.000000,1271520.000000,1310400.000000,1210425.625000,0
2010-04-27,1344000.000000,1440000.000000,1327680.000000,1440000.000000,1330138.250000,0
2010-04-28,1372800.000000,1478400.000000,1363200.000000,1440480.000000,1330581.375000,0
2010-04-29,1462080.000000,1462080.000000,1329600.000000,1359360.000000,1255650.250000,1
2010-04-30,1392000.000000,1546080.000000,1392000.000000,1546080.000000,1428124.875000,0
2010-05-03,1491360.000000,1498080.000000,1404960.000000,1426560.000000,1317723.375000,0
2010-05-04,1476000.000000,1666560.000000,1476000.000000,1614240.000000,1491084.750000,1
2010-05-05,1941120.000000,1941120.000000,1590240.000000,1666560.000000,1539412.875000,1
2010-05-06,1696800.000000,2159520.000000,1344000.000000,1777920.000000,1642277.125000,1
2010-05-07,1897440.000000,2103360.000000,1798080.000000,1897920.000000,1753121.875000,2
2010-05-10,1629600.000000,1679520.000000,1573440.000000,1574400.000000,1454284.375000,1
2010-05-11,1661760.000000,1668480.000000,1524960.000000,1605600.000000,1483104.125000,4
2010-05-12,1562880.000000,1562880.000000,1463520.000000,1463520.000000,1351863.625000,8
2010-05-13,1528800.000000,1605120.000000,1453440.000000,1584480.000000,1463595.250000,11
2010-05-14,1671360.000000,1814880.000000,1671360.000000,1728480.000000,1596609.000000,4
2010-05-17,1763040.000000,1824480.000000,1637760.000000,1649280.000000,1523451.500000,5
2010-05-18,1624320.000000,1807680.000000,1608480.000000,1791360.000000,1654691.875000,2
2010-05-19,1825920.000000,1886880.000000,1707840.000000,1766400.000000,1631636.000000,3
2010-05-20,1909920.000000,2004000.000000,1800480.000000,1911360.000000,1765536.625000,1
2010-05-21,2034720.000000,2112000.000000,1683360.000000,1777920.000000,1642277.125000,2
2010-05-24,1772160.000000,1875360.000000,1728960.000000,1874400.000000,1731396.500000,1
2010-05-25,1955040.000000,2088000.000000,1834080.000000,1836000.000000,1695925.875000,1
2010-05-26,1744800.000000,1854720.000000,1668480.000000,1844640.000000,1703907.000000,3
2010-05-27,1715520.000000,1715520.000000,1562880.000000,1563840.000000,1444530.000000,4
2010-05-28,1574880.000000,1694880.000000,1563840.000000,1636800.000000,1511923.625000,1
2010-06-01,1693440.000000,1750080.000000,1599360.000000,1746240.000000,1613014.000000,1
2010-06-02,1708800.000000,1732320.000000,1558560.000000,1560000.000000,1440983.125000,1
2010-06-03,1556160.000000,1577280.000000,1489920.000000,1502400.000000,1387777.625000,1
2010-06-04,1615680.000000,1713600.000000,1535040.000000,1698720.000000,1569119.500000,2
2010-06-07,1658880.000000,1897440.000000,1646400.000000,1883520.000000,1739820.625000,2
2010-06-08,1760160.000000,2045760.000000,1760160.000000,1904640.000000,1759329.125000,2
2010-06-09,1828320.000000,1968960.000000,1736640.000000,1946400.000000,1797903.375000,1
2010-06-10,1840320.000000,1892160.000000,1721280.000000,1727040.000000,1595278.875000,1
2010-06-11,1800480.000000,1800480.000000,1645440.000000,1653120.000000,1526998.625000,1
2010-06-14,1590720.000000,1624320.000000,1528800.000000,1618560.000000,1495075.250000,1
2010-06-15,1584000.000000,1584000.000000,1339200.000000,1352160.000000,1248999.750000,3
2010-06-16,1392480.000000,1414080.000000,1301280.000000,1332000.000000,1230377.750000,3
2010-06-17,1317600.000000,1407360.000000,1305600.000000,1341120.000000,1238801.875000,2
2010-06-18,1349760.000000,1368000.000000,1313760.000000,1350720.000000,1247669.500000,2
2010-06-21,1392000.000000,1408320.000000,1247520.000000,1383840.000000,1278262.625000,2
2010-06-22,1380480.000000,1469760.000000,1324320.000000,1457760.000000,1346543.125000,2
2010-06-23,1440000.000000,1521600.000000,1388160.000000,1442400.000000,1332354.875000,2
2010-06-24,1478880.000000,1585440.000000,1456320.000000,1572960.000000,1452954.250000,3
2010-06-25,1538880.000000,1652640.000000,1538400.000000,1570080.000000,1450293.875000,2
2010-06-28,1554720.000000,1596960.000000,1495200.000000,1545600.000000,1427681.500000,1
2010-06-29,1632000.000000,1783680.000000,1632000.000000,1752480.000000,1618778.000000,3
2010-06-30,1764000.000000,1849440.000000,1688160.000000,1838880.000000,1698586.375000,1
2010-07-01,1823040.000000,1979040.000000,1780320.000000,1829760.000000,1690162.125000,2
2010-07-02,1775040.000000,1938720.000000,1775040.000000,1852320.000000,1711001.125000,1
2010-07-06,1745280.000000,1894560.000000,1705440.000000,1855200.000000,1713661.250000,1
2010-07-07,1835040.000000,1837440.000000,1563360.000000,1571520.000000,1451623.875000,2
2010-07-08,1509600.000000,1646880.000000,1509600.000000,1572960.000000,1452954.250000,2
2010-07-09,1575360.000000,1601280.000000,1515360.000000,1518240.000000,1402408.875000,2
2010-07-12,1514400.000000,1522080.000000,1452480.000000,1468800.000000,1356740.750000,1
2010-07-13,1414080.000000,1440480.000000,1355520.000000,1380000.000000,1274715.875000,2
2010-07-14,1327680.000000,1408320.000000,1295520.000000,1386240.000000,1280479.750000,4
2010-07-15,1390560.000000,1474080.000000,1387680.000000,1395840.000000,1289347.125000,4
2010-07-16,1434240.000000,1533120.000000,1418880.000000,1530240.000000,1413493.500000,2
2010-07-19,1508160.000000,1517280.000000,1411200.000000,1419360.000000,1311072.625000,2
2010-07-20,1536000.000000,1570080.000000,1411680.000000,1412640.000000,1304865.375000,3
2010-07-21,1384320.000000,1507200.000000,1384320.000000,1497120.000000,1382900.250000,2
