Date,Open,High,Low,Close,Adj Close,Volume
2010-02-11,515008.000000,520000.000000,488384.000000,492672.000000,473162.093750,8
2010-02-12,507328.000000,507712.000000,486080.000000,488576.000000,469228.312500,8
2010-02-16,477952.000000,485952.000000,469760.000000,471232.000000,452571.125000,7
2010-02-17,464960.000000,471936.000000,462656.000000,464000.000000,445625.562500,7
2010-02-18,463424.000000,465600.000000,451520.000000,452864.000000,434930.500000,7
2010-02-19,456960.000000,460672.000000,448000.000000,454080.000000,436098.375000,7
2010-02-22,449152.000000,461952.000000,448832.000000,456896.000000,438802.875000,5
2010-02-23,457856.000000,480256.000000,457792.000000,475264.000000,456443.468750,8
2010-02-24,467072.000000,469184.000000,454784.000000,460416.000000,442183.500000,10
2010-02-25,474944.000000,483840.000000,457216.000000,457216.000000,439110.156250,9
2010-02-26,460800.000000,465216.000000,453184.000000,454720.000000,436713.000000,7
2010-03-01,449408.000000,449728.000000,433280.000000,434688.000000,417474.312500,9
2010-03-02,430720.000000,433984.000000,423552.000000,431360.000000,414278.093750,3
2010-03-03,429824.000000,434624.000000,424000.000000,431360.000000,414278.093750,4
2010-03-04,428992.000000,434944.000000,424448.000000,425984.000000,409114.968750,7
2010-03-05,415360.000000,418176.000000,404992.000000,407104.000000,390982.625000,9
2010-03-08,404416.000000,405184.000000,401280.000000,403776.000000,387786.406250,4
2010-03-09,407296.000000,407296.000000,390400.000000,396800.000000,381086.687500,13
2010-03-10,393280.000000,393984.000000,384704.000000,387264.000000,371928.281250,9
2010-03-11,389632.000000,391680.000000,383232.000000,383488.000000,368301.843750,10
2010-03-12,378624.000000,386496.000000,378624.000000,382912.000000,367748.625000,8
2010-03-15,385536.000000,392896.000000,382592.000000,385216.000000,369961.343750,9
2010-03-16,381824.000000,384960.000000,376448.000000,377792.000000,362831.375000,8
2010-03-17,376512.000000,377600.000000,369728.000000,376000.000000,361110.375000,11
2010-03-18,373824.000000,376320.000000,369984.000000,371520.000000,356807.781250,9
2010-03-19,378240.000000,381504.000000,367232.000000,378240.000000,363261.687500,14
2010-03-22,381760.000000,383360.000000,362944.000000,367616.000000,353058.375000,23
2010-03-23,365696.000000,370112.000000,359040.000000,360320.000000,346051.250000,17
2010-03-24,362112.000000,367296.000000,361664.000000,364160.000000,349739.218750,19
2010-03-25,356352.000000,367616.000000,352000.000000,367168.000000,352628.125000,21
2010-03-26,362304.000000,371008.000000,357952.000000,364928.000000,350476.750000,15
2010-03-29,359936.000000,362816.000000,356992.000000,360192.000000,345928.312500,12
2010-03-30,357056.000000,362880.000000,353600.000000,356672.000000,342547.687500,8
2010-03-31,360512.000000,363328.000000,355520.000000,360576.000000,346297.125000,17
2010-04-01,357248.000000,369472.000000,350208.000000,361344.000000,347034.656250,14
2010-04-05,359616.000000,361728.000000,349120.000000,351360.000000,337446.062500,18
2010-04-06,354048.000000,355520.000000,345408.000000,348544.000000,334741.593750,14
2010-04-07,351040.000000,356288.000000,346240.000000,350336.000000,336462.625000,17
2010-04-08,353984.000000,358848.000000,347136.000000,349120.000000,335294.843750,10
2010-04-09,347840.000000,350528.000000,341952.000000,342528.000000,328963.812500,12
2010-04-12,341568.000000,343424.000000,338816.000000,341440.000000,327918.968750,12
2010-04-13,342592.000000,344448.000000,335616.000000,336064.000000,322755.843750,22
2010-04-14,330880.000000,332160.000000,324160.000000,324352.000000,311507.562500,23
2010-04-15,324352.000000,324352.000000,319168.000000,320384.000000,307696.750000,20
2010-04-16,323392.000000,337280.000000,320064.000000,330496.000000,317408.343750,40
2010-04-19,334976.000000,343744.000000,329216.000000,331904.000000,318760.531250,39
2010-04-20,326400.000000,333056.000000,324544.000000,327424.000000,314457.968750,22
2010-04-21,320320.000000,326592.000000,318208.000000,320896.000000,308188.500000,25
2010-04-22,330432.000000,335488.000000,314944.000000,315904.000000,303394.156250,49
2010-04-23,316224.000000,319104.000000,311104.000000,312064.000000,299706.250000,17
2010-04-26,311232.000000,315392.000000,309312.000000,314176.000000,301734.593750,21
2010-04-27,317440.000000,336192.000000,313600.000000,333440.000000,320235.718750,44
2010-04-28,328000.000000,340672.000000,328000.000000,332928.000000,319744.031250,80
2010-04-29,328320.000000,328320.000000,313984.000000,315712.000000,303209.718750,44
2010-04-30,316224.000000,335040.000000,314688.000000,334400.000000,321157.750000,41
2010-05-03,330304.000000,330496.000000,315520.000000,320192.000000,307512.375000,37
2010-05-04,332160.000000,355456.000000,332032.000000,349184.000000,335356.281250,71
2010-05-05,358848.000000,365760.000000,347520.000000,353856.000000,339843.250000,76
2010-05-06,361152.000000,482624.000000,304320.000000,389888.000000,374448.375000,116
2010-05-07,398720.000000,441920.000000,383936.000000,415424.000000,398973.125000,118
2010-05-10,364288.000000,366592.000000,353600.000000,355072.000000,341011.093750,88
2010-05-11,364096.000000,366720.000000,340544.000000,354688.000000,340642.312500,63
2010-05-12,349760.000000,350848.000000,334080.000000,335360.000000,322079.656250,44
2010-05-13,339328.000000,352768.000000,331456.000000,350912.000000,337015.812500,41
2010-05-14,358912.000000,383104.000000,358720.000000,370944.000000,356254.562500,66
2010-05-17,368256.000000,391104.000000,363328.000000,368128.000000,353550.062500,45
2010-05-18,358400.000000,387136.000000,356096.000000,382464.000000,367318.406250,44
2010-05-19,386688.000000,404288.000000,377792.000000,391616.000000,376107.937500,89
2010-05-20,413312.000000,437504.000000,411584.000000,429888.000000,412864.343750,97
2010-05-21,455808.000000,460608.000000,411136.000000,425152.000000,408315.906250,119
2010-05-24,422016.000000,425984.000000,407424.000000,422144.000000,405427.031250,67
2010-05-25,453888.000000,466048.000000,422720.000000,425408.000000,408561.781250,122
2010-05-26,418240.000000,440704.000000,400128.000000,438016.000000,420670.562500,63
2010-05-27,408064.000000,412224.000000,388800.000000,388800.000000,373403.500000,73
2010-05-28,387776.000000,405760.000000,386176.000000,395968.000000,380287.656250,76
2010-06-01,399552.000000,407936.000000,379008.000000,407360.000000,391228.500000,59
2010-06-02,399680.000000,407808.000000,376896.000000,378432.000000,363446.031250,45
2010-06-03,374848.000000,381376.000000,365120.000000,367104.000000,352566.562500,67
2010-06-04,390144.000000,408000.000000,376128.000000,403968.000000,387970.812500,115
2010-06-07,397568.000000,427200.000000,394944.000000,426240.000000,409360.875000,82
2010-06-08,423616.000000,445952.000000,420736.000000,428288.000000,411327.750000,119
2010-06-09,420480.000000,443072.000000,408256.000000,439744.000000,422330.062500,89
2010-06-10,422848.000000,426880.000000,400448.000000,401280.000000,385389.250000,105
2010-06-11,413632.000000,414016.000000,389376.000000,390720.000000,375247.468750,93
